Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
04/02/2020 23:00:56,18.951,16.20106,1926.18,7.30352,8.07151,0.48316,
04/02/2020 22:00:56,21.115,16.1842,1934.93,12.17625,15.51365,2.42495,
04/02/2020 21:00:56,22.088,16.73326,1945.04,15.55189,20.23693,3.34581,
04/02/2020 20:00:56,20.81678,16.49953,1957.61,16.94287,28.74246,8.55962,
04/02/2020 19:00:56,20.41017,17.04016,1979.21,13.55767,16.51681,1.91976,
04/02/2020 18:00:56,23.5019,16.63125,1947.5,11.63866,13.01498,0.90636,
04/02/2020 17:00:56,26.88068,16.84191,1961.44,8.07406,9.22413,0.74945,
04/02/2020 16:00:56,29.37949,17.24417,1957.61,6.25192,6.72514,0.34801,
04/02/2020 15:00:56,25.50831,17.24106,1963.9,6.02949,6.87969,0.55117,
04/02/2020 14:00:56,23.12102,16.15759,1955.43,5.9597,6.94821,0.63389,
04/02/2020 13:00:56,22.13712,15.72695,1939.57,6.07857,6.63082,0.36308,
04/02/2020 12:00:56,19.11932,16.34386,1950.78,18.38707,35.89302,11.57736,
04/02/2020 11:00:56,20.34525,16.22855,1942.85,8.50139,11.76772,2.22631,
04/02/2020 10:00:56,22.88746,16.52259,1972.92,6.84815,7.9399,0.69811,
04/02/2020 09:00:56,27.80949,16.48711,2048.63,5.69967,6.14899,0.29242,
04/02/2020 08:00:56,38.8561,16.32479,2038.79,,3.64905,,
04/02/2020 07:00:56,38.16644,15.72784,1931.1,,2.42697,,
04/02/2020 06:00:56,33.70621,16.24008,1928.09,1.9257,2.1647,0.19683,
04/02/2020 05:00:56,32.30254,16.5155,1931.92,2.33264,3.05495,0.45723,
04/02/2020 04:00:56,29.84441,16.16558,1940.67,,2.87423,,
04/02/2020 03:00:56,31.78034,16.24674,1958.16,,2.89477,,
04/02/2020 02:00:56,34.83525,16.5869,1964.79,3.88741,4.22807,0.2753,
04/02/2020 01:00:56,33.51864,16.13376,1967.73,4.512,4.72933,0.24275,
04/02/2020 00:00:56,23.30508,16.19041,1975.93,5.70413,6.23503,0.40043,
04/01/2020 23:00:56,14.37915,15.87153,1988.77,9.18365,10.29835,0.77584,
04/01/2020 22:00:56,11.72407,15.63737,1954.06,13.1603,21.94976,5.71417,
04/01/2020 21:00:56,10.58356,15.93629,1939.3,11.09948,14.5876,2.24107,
04/01/2020 20:00:56,15.50373,15.58016,1951.05,11.20113,16.54963,3.76989,
04/01/2020 19:00:56,22.97373,15.6897,1969.09,10.34679,11.93853,0.96871,
04/01/2020 18:00:56,19.93085,15.65466,1951.05,8.92426,11.91845,1.94511,
04/01/2020 17:00:56,17.33475,15.89016,1957.34,9.90097,12.95476,1.83371,
04/01/2020 16:00:56,24.93678,15.77086,1947.77,9.32004,15.3728,4.0064,
04/01/2020 15:00:56,27.9839,15.22669,1955.43,8.46028,12.57299,2.76314,
04/01/2020 14:00:56,26.33424,15.04529,1951.05,8.01351,11.38054,2.49047,
04/01/2020 13:00:56,24.31542,14.72819,1911.97,13.88909,25.71066,7.69191,
04/01/2020 12:00:56,23.54915,14.71267,1919.62,17.85266,37.55264,13.06149,
04/01/2020 11:00:56,21.55525,14.63417,1933.29,12.09754,22.54439,6.84873,
04/01/2020 10:00:56,20.43729,15.14907,1928.37,10.4972,12.06918,1.0269,
04/01/2020 09:00:56,19.51153,15.11758,1898.3,9.07085,9.87038,0.60387,
04/01/2020 08:00:56,17.71119,15.73671,1887.91,4.33833,4.55343,0.20027,
04/01/2020 07:00:56,18.0439,14.96813,1882.99,,2.67903,,
04/01/2020 06:00:56,20.47169,15.63426,1882.45,,2.59745,,
04/01/2020 05:00:56,22.09322,15.08787,1884.63,2.74117,3.06812,0.23791,
04/01/2020 04:00:56,21.1161,15.15395,1895.84,3.65914,4.22637,0.34861,
04/01/2020 03:00:56,21.09085,15.16681,1900.76,,3.62864,,
04/01/2020 02:00:56,21.43017,15.31184,1906.04,3.53943,3.77142,0.20563,
04/01/2020 01:00:56,20.83847,16.50589,1898.48,4.60537,5.19554,0.41629,
04/01/2020 00:00:56,20.00508,9.41587,710.87,4.76215,5.33639,0.36641,
03/31/2020 23:00:56,24.16356,9.1779,732.74,6.65344,7.64673,0.63805,
03/31/2020 22:00:56,29.44441,9.62451,748.59,7.29428,8.52752,0.80868,
03/31/2020 21:00:56,31.49305,10.44853,749.41,9.92487,11.71514,1.17509,
03/31/2020 20:00:56,31.45948,10.38156,743.13,11.93375,15.04648,1.99665,
03/31/2020 19:00:56,33.90458,10.29951,733.01,16.14429,20.53839,2.91881,
03/31/2020 18:00:56,33.93407,10.46095,750.78,16.59903,22.26492,3.66701,
03/31/2020 17:00:56,34.09169,10.91686,757.89,17.82462,24.80342,4.59603,
03/31/2020 16:00:56,37.83328,10.53102,769.64,14.91742,21.88061,4.68789,
03/31/2020 15:00:56,38.75847,10.89735,768.27,10.87418,14.18991,2.15211,
03/31/2020 14:00:56,40.44068,11.94046,776.47,13.46048,18.58082,3.34653,
03/31/2020 13:00:56,44.42441,12.16133,794.24,11.94363,18.5617,4.28386,
03/31/2020 12:00:56,47.5065,13.92512,823.49,14.39672,20.78217,4.06979,
03/31/2020 11:00:56,57.77712,14.11982,874.6001,30.20291,55.3422,16.36417,
03/31/2020 10:00:56,66.2281,13.54105,959.0601,38.57205,67.72655,19.00864,
03/31/2020 09:00:56,71.80759,13.5996,1400.22,40.98181,147.4442,69.22305,
03/31/2020 08:00:56,69.27517,13.45546,1738.61,28.03311,110.28002,53.61518,
03/31/2020 07:00:56,61.01983,13.08292,1987.07,26.54207,120.14881,60.74075,
03/31/2020 06:00:56,59.31288,12.35469,1608.5,20.1289,41.76445,14.1123,
03/31/2020 05:00:56,78.33603,11.59675,1549.46,22.15626,42.68763,13.39569,
03/31/2020 04:00:56,91.95552,11.98703,1842.47,25.08512,59.82775,22.70496,
03/31/2020 03:00:56,88.13931,12.24515,2239.35,31.23103,91.78535,39.49498,
03/31/2020 02:00:56,90.67466,12.66825,2088.75,32.36393,86.33387,35.18383,
03/31/2020 01:00:56,103.96069,11.14748,1722.48,34.26814,79.15999,29.34274,
03/31/2020 00:00:56,90.98155,13.6778,2400.51,48.20248,139.51991,59.54487,
